NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Automatic Speech Recognition,VGG16,AlexNet,Machine Translation,GoogLeNet,Sentiment Analysis,Sentiment Analysis
ISOLATED,6473174,13464275,77632839,6473174,10717761,11872941,4489906,4489906
PRIORITY,2,2,2,2,0,2,1,0
DISPATCHED,0,2469996,3025227,3777110,536826,179911,1227044,446534
ESTIMATED,1114704,1,14014972,1114704,1,1055492,1,1
RUNNED,6473754,7812989,77632292,6473548,5889239,11873387,2708641,2708638
WAITED,0,27183664,34441422,111321831,20518954,6293844,25717975,17900608
ELAPSED,6473754,34996653,112073714,117795379,26408193,18167231,28426616,20609246
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,False,True,True,True,True
"algo_str, mecha_str"
ANTT,4.769484725146483,STP,3.567479915866429,FAIRNESS,0.015044616955263658
