NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,AlexNet,GoogLeNet,Sentiment Analysis,AlexNet,AlexNet,Automatic Speech Recognition,Sentiment Analysis
ISOLATED,6473174,6473174,11872941,4489906,6473174,6473174,13464275,4489906
PRIORITY,2,1,1,1,0,1,1,2
DISPATCHED,0,1600095,3479819,685600,2810672,1304251,2085596,3956395
ESTIMATED,1114704,1114704,1055492,1,1114704,1114704,1,1
RUNNED,6473754,6473546,11872874,2597319,6473548,6473547,6687468,2597317
WAITED,0,13944526,31699364,5788155,25894963,7766823,19932571,43095662
ELAPSED,6473754,20418072,43572238,8385474,32368511,14240370,26620039,45692979
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,False
"algo_str, mecha_str"
ANTT,3.6307597244803813,STP,3.383475119231531,FAIRNESS,0.0545947280082001
