NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,VGG16,VGG16,GoogLeNet,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,Machine Translation,Automatic Speech Recognition,AlexNet,Machine Translation,GoogLeNet
ISOLATED,4489906,77632839,77632839,11872941,13464275,4489906,11872941,10717761,13464275,6473174,10717761,11872941
PRIORITY,0,1,2,1,1,1,0,1,2,0,1,0
DISPATCHED,0,5745188,1079347,3663091,2314869,1938032,5593097,2115512,2443622,2894896,2243878,5851327
ESTIMATED,1,3555583,3555583,291425,1,1,291425,1,1,307188,1,291425
RUNNED,4026019,6150356,6151081,814259,12028183,4026024,813745,8905680,12028312,1696877,8905682,814258
WAITED,59009577,13513553,1,21746006,23908487,36313507,57442500,40162051,4786807,60954446,48939365,59694892
ELAPSED,63035596,19663909,6151082,22560265,35936670,40339531,58256245,49067731,16815119,62651323,57845047,60509150
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,False,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,4.902616838417776,STP,19.36024543466057,FAIRNESS,0.02645658025135539
