NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,VGG16,Automatic Speech Recognition,MobileNet,AlexNet,VGG16,Automatic Speech Recognition,AlexNet
ISOLATED,11872941,77632839,13464275,25908806,6473174,77632839,13464275,6473174
PRIORITY,0,2,1,2,2,1,1,1
DISPATCHED,0,528535,3131467,2924962,2542693,781727,306886,2941817
ESTIMATED,291425,3555583,1,1419697,307188,3555583,1,307188
RUNNED,814371,6150419,6627447,1866807,1697003,6149845,6627479,1697004
WAITED,30816004,1,7111298,3753993,6003069,16088485,22491522,26484070
ELAPSED,31630375,6150420,13738745,5620800,7700072,22238330,29119001,28181074
SWITCHED,2,1,1,1,1,1,2,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.4966027205766699,STP,23.610901587439976,FAIRNESS,0.054593419929075425
