NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Sentiment Analysis,AlexNet,AlexNet,AlexNet,Machine Translation,MobileNet,AlexNet,GoogLeNet,GoogLeNet,GoogLeNet,AlexNet,Automatic Speech Recognition,AlexNet,GoogLeNet,VGG16,GoogLeNet
ISOLATED,4489906,6473174,6473174,6473174,10717761,25908806,6473174,11872941,11872941,11872941,6473174,13464275,6473174,11872941,77632839,11872941
PRIORITY,2,0,2,1,1,0,1,1,1,0,1,0,2,1,0,0
DISPATCHED,0,3486504,415157,3725908,2221731,3406546,7402464,7496575,5592677,3767480,79215,2040961,7121598,5708194,554811,3111690
ESTIMATED,1,1114704,1114704,1114704,1,5045956,1114704,1055492,1055492,1055492,1114704,1,1114704,1055492,14014972,1055492
RUNNED,1595636,6473545,6473034,6473034,3375539,25908553,6473547,11873387,11873900,11873387,6473031,3821334,6473548,11872875,77632806,11873387
WAITED,0,69471028,1180480,10816311,18793522,76024531,16988328,23367764,37145049,101572150,54532411,115172056,947073,55376463,120479540,195555467
ELAPSED,1595636,75944573,7653514,17289345,22169061,101933084,23461875,35241151,49018949,113445537,61005442,118993390,7420621,67249338,198112346,207428854
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
HPF,DYNAMIC
ANTT,5.457187460632651,STP,7.533823218193763,FAIRNESS,0.09025962414534684
