NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,Automatic Speech Recognition,Machine Translation,Automatic Speech Recognition,MobileNet,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,4489906,13464275,10717761,13464275,25908806,4489906,4489906,13464275
PRIORITY,0,0,0,2,1,1,1,2
DISPATCHED,0,566089,1268327,726033,3765009,3332107,562059,1160927
ESTIMATED,1,1,1,1,1419697,1,1,1
RUNNED,5244723,15139143,11670751,15139211,1866807,5244912,5245240,15139143
WAITED,42635313,47313948,61750853,1,27239379,29539088,37390074,14704318
ELAPSED,47880036,62453091,73421604,15139212,29106186,34784000,42635314,29843461
SWITCHED,1,1,1,1,1,1,1,1
SLA,False,True,True,True,True,True,False,True
"algo_str, mecha_str"
ANTT,5.4825110863715265,STP,2.920404444133393,FAIRNESS,0.11830570398382438
