NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,VGG16,GoogLeNet,VGG16,Sentiment Analysis,GoogLeNet,MobileNet,MobileNet,Machine Translation,VGG16,GoogLeNet,Sentiment Analysis,AlexNet,GoogLeNet,MobileNet
ISOLATED,13464275,13464275,77632839,11872941,77632839,4489906,11872941,25908806,25908806,10717761,77632839,11872941,4489906,6473174,11872941,25908806
PRIORITY,2,0,1,1,0,2,0,1,1,1,0,1,2,1,0,0
DISPATCHED,0,5208719,2403449,219524,3368970,6099805,4901051,4370268,6840525,990079,4326846,6440376,6632988,7784136,878328,724330
ESTIMATED,1,1,3555583,291425,3555583,1,291425,1419697,1419697,1,3555583,291425,1,307188,291425,1419697
RUNNED,8039429,8039222,6150358,814258,6150358,2917945,814256,1866807,1866807,6391980,6150232,814131,2917944,1697389,814259,1866680
WAITED,0,28268330,24923242,20047775,38147301,1939625,42765578,19222809,18619359,9967296,44154039,14641181,10716367,14111552,53752789,54721046
ELAPSED,8039429,36307552,31073600,20862033,44297659,4857570,43579834,21089616,20486166,16359276,50304271,15455312,13634311,15808941,54567048,56587726
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,1.7571086333415362,STP,14.936411101987817,FAIRNESS,3.3637226419469526e-11
