NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,Sentiment Analysis,Machine Translation,GoogLeNet,Automatic Speech Recognition,VGG16,Sentiment Analysis,AlexNet,AlexNet,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,6473174,4489906,10717761,11872941,13464275,77632839,4489906,6473174,6473174,4489906,4489906,13464275
PRIORITY,2,1,0,0,1,0,0,0,1,2,2,2
DISPATCHED,0,4997230,2009143,3504675,3658392,1341625,5481287,5249760,3998449,3541861,4197092,3887196
ESTIMATED,1114704,1,1,1055492,1,14014972,1,1114704,1114704,1,1,1
RUNNED,6473657,4712527,10413901,11872874,13710346,77633315,4712419,6473033,6473034,4712499,4712418,13710437
WAITED,41558227,1,52495776,61414145,4712528,75450069,148943722,153887668,44033436,18422874,22480142,27502456
ELAPSED,48031884,4712528,62909677,73287019,18422874,153083384,153656141,160360701,50506470,23135373,27192560,41212893
SWITCHED,2,1,1,1,2,1,1,1,1,2,1,1
SLA,True,True,True,True,True,True,False,False,True,True,True,True
PREMA,DYNAMIC
ANTT,8.743360322588499,STP,3.541513526650686,FAIRNESS,8.720035938416109e-12
