NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,Sentiment Analysis,Machine Translation,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition,VGG16,MobileNet
ISOLATED,10717761,4489906,10717761,13464275,6473174,13464275,77632839,25908806
PRIORITY,1,1,2,2,2,2,0,0
DISPATCHED,0,216440,2468446,698940,2748149,3644233,3091350,1656030
ESTIMATED,1,1,1,1,1114704,1,14014972,5045956
RUNNED,2621455,1261647,2621432,2449061,6473547,2449062,77632292,25908552
WAITED,133560,2405016,1414657,5805595,8654509,5309363,14784855,93852467
ELAPSED,2755015,3666663,4036089,8254656,15128056,7758425,92417147,119761019
SWITCHED,2,2,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.3486826535148397,STP,12.621083972281658,FAIRNESS,3.146016657882989e-10
