NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Sentiment Analysis,MobileNet,Machine Translation,Automatic Speech Recognition,VGG16,GoogLeNet,Automatic Speech Recognition
ISOLATED,6473174,4489906,25908806,10717761,13464275,77632839,11872941,13464275
PRIORITY,0,2,0,0,2,0,0,0
DISPATCHED,0,3461319,750505,3531265,1783893,2469258,625925,3895685
ESTIMATED,307188,1,1419697,1,1,3555583,291425,1
RUNNED,1697722,2807235,1866795,6140610,7833938,6150356,814259,7833895
WAITED,0,1,11588391,10674426,2807236,17877043,25870732,23415231
ELAPSED,1697722,2807236,13455186,16815036,10641174,24027399,26684991,31249126
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.0804989918941517,STP,13.347328695194296,FAIRNESS,4.4148457204719054e-10
