NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition,GoogLeNet,GoogLeNet,Sentiment Analysis,AlexNet,GoogLeNet
ISOLATED,13464275,6473174,13464275,11872941,11872941,4489906,6473174,11872941
PRIORITY,0,2,2,1,0,0,2,0
DISPATCHED,0,101484,2652325,3463660,1148239,1630848,307880,3463923
ESTIMATED,1,307188,1,291425,291425,1,307188,291425
RUNNED,13478727,1697499,13481618,814523,813694,4581353,1695088,814884
WAITED,23505701,7286968,21243444,5111078,5613360,13971478,7917121,6161078
ELAPSED,36984428,8984467,34725062,5925601,6427054,18552831,9612209,6975962
SWITCHED,49,12,1,6,7,27,10,5
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.7448583890452933,STP,7.94070167449801,FAIRNESS,0.02332120965326377
