NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,MobileNet,AlexNet,GoogLeNet,MobileNet,MobileNet,AlexNet,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,Machine Translation,GoogLeNet
ISOLATED,6473174,25908806,6473174,11872941,25908806,25908806,6473174,4489906,13464275,11872941,10717761,11872941
PRIORITY,2,0,1,2,1,0,1,0,0,0,0,0
DISPATCHED,0,371106,4437495,5721777,4276929,964974,1132498,952100,4548087,4149327,1567342,1596282
ESTIMATED,307188,1419697,307188,291425,1419697,1419697,307188,1,1,291425,1,291425
RUNNED,1697877,1866806,1697516,813745,1866808,1866806,1697518,4801915,13727366,814131,10665271,814129
WAITED,31636557,36358363,28896940,24424876,34319346,39498109,33899453,1,1205929,26811071,17914040,30178247
ELAPSED,33334434,38225169,30594456,25238621,36186154,41364915,35596971,4801916,14933295,27625202,28579311,30992376
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,2.645972008642334,STP,6.102719768933908,FAIRNESS,0.023075918481406815
