NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,VGG16,Sentiment Analysis,Sentiment Analysis,MobileNet,VGG16,Machine Translation,VGG16
ISOLATED,4489906,77632839,4489906,4489906,25908806,77632839,10717761,77632839
PRIORITY,1,2,1,0,2,1,0,1
DISPATCHED,0,3522765,496459,3836703,1440263,2191081,170097,2285669
ESTIMATED,1,3555583,1,1,1419697,3555583,1,3555583
RUNNED,3472190,6150356,3471984,3471984,1866808,6149844,7648830,6149844
WAITED,0,16409032,2975732,3107472,16624726,23891072,10246062,29946328
ELAPSED,3472190,22559388,6447716,6579456,18491534,30040916,17894892,36096172
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,0.9000805831738593,STP,12.84814387136953,FAIRNESS,0.18072611237837793
