NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,AlexNet,VGG16,GoogLeNet,Sentiment Analysis,AlexNet,Sentiment Analysis,GoogLeNet,MobileNet,Machine Translation,Sentiment Analysis,Machine Translation,Machine Translation,Machine Translation,GoogLeNet,Automatic Speech Recognition,Machine Translation
ISOLATED,6473174,77632839,11872941,4489906,6473174,4489906,11872941,25908806,10717761,4489906,10717761,10717761,10717761,11872941,13464275,10717761
PRIORITY,1,2,0,0,0,0,1,1,1,1,2,0,2,1,0,0
DISPATCHED,0,1852371,3329771,2071701,7081219,3027122,1054108,6567367,6442787,4537850,5960015,7428708,2232558,7148243,196432,7783902
ESTIMATED,1114704,14014972,1055492,1,1114704,1,1055492,5045956,1,1,1,1,1,1055492,1,1
RUNNED,6474525,77632292,11873388,3377079,6473034,3376565,11873896,25908552,7397460,3376567,7397460,7397459,7397460,11873387,9471773,7397461
WAITED,92209955,129213696,53455946,1,91603262,2421659,67604997,98590148,2382559,11684956,13639358,19568125,32161734,73384758,39720051,41604354
ELAPSED,98684480,206845988,65329334,3377080,98076296,5798224,79478893,124498700,9780019,15061523,21036818,26965584,39559194,85258145,49191824,49001815
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,4.996828402684372,STP,6.3535695102357135,FAIRNESS,0.016445658561913306
