NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,Automatic Speech Recognition,AlexNet,AlexNet,Machine Translation,Machine Translation,Machine Translation,GoogLeNet
ISOLATED,10717761,13464275,6473174,6473174,10717761,10717761,10717761,11872941
PRIORITY,1,0,2,0,1,0,0,0
DISPATCHED,0,993536,3077451,1509055,2757,916296,262649,521042
ESTIMATED,1,1,307188,307188,1,1,1,291425
RUNNED,11670956,15139143,1697389,1697518,11670751,11670750,11670750,814259
WAITED,0,10677421,59559159,62824944,26807343,37564555,49888952,61301309
ELAPSED,11670956,25816564,61256548,64522462,38478094,49235305,61559702,62115568
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,False,False,True,True,True,True
"algo_str, mecha_str"
ANTT,5.199560977564964,STP,2.5073340490832923,FAIRNESS,0.022513225394010905
