NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,MobileNet,AlexNet,MobileNet,GoogLeNet,AlexNet,Automatic Speech Recognition,Machine Translation,Machine Translation,GoogLeNet,Machine Translation,Automatic Speech Recognition,Machine Translation,Sentiment Analysis,MobileNet,Machine Translation,Machine Translation
ISOLATED,25908806,6473174,25908806,11872941,6473174,13464275,10717761,10717761,11872941,10717761,13464275,10717761,4489906,25908806,10717761,10717761
PRIORITY,2,1,0,0,1,2,0,0,0,0,2,0,1,1,2,2
DISPATCHED,0,2824535,4450622,1181646,7200067,93742,4110632,4864967,1637664,2902097,2235641,4755707,1690411,4259205,1916353,3652758
ESTIMATED,1419697,307188,1419697,291425,307188,1,1,1,291425,1,1,1,1,1419697,1,1
RUNNED,1867013,1697005,1866806,814259,1697518,7792983,5889112,5889241,814259,5889112,7792983,5889241,2696328,1866806,5889240,5889240
WAITED,0,23214013,32738495,37874277,28291532,1773272,35759550,40894327,50010871,49560697,16009924,53596199,7969586,29365588,10439972,24082795
ELAPSED,1867013,24911018,34605301,38688536,29989050,9566255,41648662,46783568,50825130,55449809,23802907,59485440,10665914,31232394,16329212,29972035
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TOKEN,DYNAMIC
ANTT,2.923899888855443,STP,20.739509095295993,FAIRNESS,1.886109653690591e-11
