NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,Sentiment Analysis,VGG16,Machine Translation,Automatic Speech Recognition,VGG16,Machine Translation,Automatic Speech Recognition
ISOLATED,13464275,4489906,77632839,10717761,13464275,77632839,10717761,13464275
PRIORITY,2,1,0,1,2,2,0,1
DISPATCHED,0,310085,2298742,3218320,671422,2554052,2572847,529516
ESTIMATED,1,1,14014972,1,1,14014972,1,1
RUNNED,13710644,4712419,77632292,10413900,13710438,77632806,10413900,13710437
WAITED,0,13400560,131591903,120258425,31462079,43289887,208950090,17893548
ELAPSED,13710644,18112979,209224195,130672325,45172517,120922693,219363990,31603985
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,False,True,True,False,True
"algo_str, mecha_str"
ANTT,5.958353097562236,STP,3.097941847647775,FAIRNESS,2.1642062947340765e-12
