NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,Automatic Speech Recognition,Machine Translation,Machine Translation,GoogLeNet,VGG16,MobileNet,GoogLeNet
ISOLATED,25908806,13464275,10717761,10717761,11872941,77632839,25908806,11872941
PRIORITY,2,0,1,2,2,2,0,0
DISPATCHED,0,3967120,2493995,2534080,1396533,3767333,993028,1252233
ESTIMATED,5045956,1,1,1,1055492,14014972,5045956,1055492
RUNNED,25908758,15164281,11671260,11670752,11873388,77632290,25908552,11873386
WAITED,0,134789329,35288152,46919327,24512226,57356826,152927702,178577049
ELAPSED,25908758,149953610,46959412,58590079,36385614,134989116,178836254,190450435
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,True,True,False
"algo_str, mecha_str"
ANTT,6.216484352887783,STP,2.6095828613477097,FAIRNESS,1.5216724946023783e-11
