NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Sentiment Analysis,Sentiment Analysis,MobileNet,GoogLeNet,Automatic Speech Recognition,AlexNet,AlexNet
ISOLATED,6473174,4489906,4489906,25908806,11872941,13464275,6473174,6473174
PRIORITY,1,0,1,2,1,1,2,0
DISPATCHED,0,1332317,685897,3952212,3286206,2053848,1060414,1305489
ESTIMATED,307188,1,1,1419697,291425,1,307188,307188
RUNNED,1697722,5355720,5355722,1866680,814259,16263638,1697516,1697518
WAITED,0,9116162,1011826,28929884,28781631,13750351,5993031,7445472
ELAPSED,1697722,14471882,6367548,30796564,29595890,30013989,7690547,9142990
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.6768376201793036,STP,8.068987996761058,FAIRNESS,0.07354839083463591
