NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Machine Translation,AlexNet,Sentiment Analysis,AlexNet,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition
ISOLATED,77632839,10717761,6473174,4489906,6473174,13464275,6473174,13464275
PRIORITY,0,2,2,2,1,2,0,0
DISPATCHED,0,1211613,670039,1446684,3853888,93001,1568157,1768314
ESTIMATED,14014972,1,1114704,1,1114704,1,1114704,1
RUNNED,77632498,10916639,6473549,4935061,6473034,14876999,6473546,14877000
WAITED,0,97771434,91839459,108453002,132331405,77539498,113266590,119539979
ELAPSED,77632498,108688073,98313008,113388063,138804439,92416497,119740136,134416979
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,False,False,False,True,False,False
"algo_str, mecha_str"
ANTT,13.546333782533651,STP,1.5506094709982552,FAIRNESS,0.0043997246265270965
