NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,VGG16,AlexNet,Sentiment Analysis,MobileNet,Automatic Speech Recognition,GoogLeNet,GoogLeNet,Sentiment Analysis,Machine Translation,Sentiment Analysis,VGG16
ISOLATED,11872941,77632839,6473174,4489906,25908806,13464275,11872941,11872941,4489906,10717761,4489906,77632839
PRIORITY,1,1,2,1,0,2,0,1,0,2,0,0
DISPATCHED,0,1289724,3457116,4170273,464891,756992,5830983,76608,536993,558688,904050,2882709
ESTIMATED,291425,3555583,307188,1,1419697,1,291425,291425,1,1,1,3555583
RUNNED,814290,6150229,1697714,5023296,1866680,14893108,814256,814259,5023171,11167783,5023296,6149844
WAITED,27758605,27283172,1,30552852,40095789,1697715,36596377,39669813,42704623,16590823,47360737,50405374
ELAPSED,28572895,33433401,1697715,35576148,41962469,16590823,37410633,40484072,47727794,27758606,52384033,56555218
SWITCHED,2,1,1,1,1,2,1,1,1,2,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,3.837595060870594,STP,10.654827402680318,FAIRNESS,0.030646739954820378
