NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Automatic Speech Recognition,Sentiment Analysis,MobileNet,MobileNet,AlexNet,Sentiment Analysis,Sentiment Analysis,GoogLeNet,MobileNet,VGG16,VGG16,Machine Translation,AlexNet,Automatic Speech Recognition,MobileNet,Automatic Speech Recognition
ISOLATED,13464275,4489906,25908806,25908806,6473174,4489906,4489906,11872941,25908806,77632839,77632839,10717761,6473174,13464275,25908806,13464275
PRIORITY,1,0,0,2,0,2,2,0,0,1,1,1,2,0,2,1
DISPATCHED,0,6960600,3644975,1828568,1212165,501751,26490,287413,6275925,470083,5840415,7823300,2894676,4016799,1651724,897922
ESTIMATED,1,1,1419697,1419697,307188,1,1,291425,1419697,3555583,3555583,1,307188,1,1419697,1
RUNNED,16263452,5355720,1866808,1867290,1697516,5355407,5355943,814257,1866681,6150358,6150356,11922122,1697516,16263640,1866808,16263638
WAITED,16142964,65932291,74603636,1,78903254,1867291,7222698,81525522,76351267,31936334,32716360,36883831,9710455,80477074,12650923,55731331
ELAPSED,32406416,71288011,76470444,1867291,80600770,7222698,12578641,82339779,78217948,38086692,38866716,48805953,11407971,96740714,14517731,71994969
SWITCHED,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,4.282710212383527,STP,23.160263031039122,FAIRNESS,0.025725755119180932
