NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,Sentiment Analysis,Automatic Speech Recognition,MobileNet
ISOLATED,13464275,4489906,13464275,25908806
PRIORITY,2,2,1,2
DISPATCHED,0,1355993,494877,998403
ESTIMATED,1,1,1,1419697
RUNNED,14852069,4912489,14851862,1866807
WAITED,0,13496077,21136489,18766156
ELAPSED,14852069,18408566,35988351,20632963
SWITCHED,1,1,1,1
SLA,True,False,True,True
"algo_str, mecha_str"
ANTT,2.168076806537967,STP,2.780290387760462,FAIRNESS,0.1942367890667764
