NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,MobileNet,MobileNet,VGG16,Sentiment Analysis,VGG16,VGG16,AlexNet
ISOLATED,77632839,25908806,25908806,77632839,4489906,77632839,77632839,6473174
PRIORITY,1,0,1,1,1,2,0,1
DISPATCHED,0,3284365,1725164,2894243,1161927,2502664,3472577,1598223
ESTIMATED,3555583,1419697,1419697,3555583,1,3555583,3555583,307188
RUNNED,6150094,1866807,1866808,6150356,1366632,6150826,6150357,1697518
WAITED,6150826,20097870,10575757,11273486,19156158,1,21776465,20086494
ELAPSED,12300920,21964677,12442565,17423842,20522790,6150827,27926822,21784012
SWITCHED,2,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.2607512288171505,STP,29.94585646055036,FAIRNESS,0.026233464029938345
