NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Automatic Speech Recognition,Machine Translation,VGG16,Automatic Speech Recognition,GoogLeNet,Machine Translation,VGG16,VGG16,VGG16,Machine Translation,AlexNet,GoogLeNet,Automatic Speech Recognition,GoogLeNet,VGG16,Machine Translation
ISOLATED,13464275,10717761,77632839,13464275,11872941,10717761,77632839,77632839,77632839,10717761,6473174,11872941,13464275,11872941,77632839,10717761
PRIORITY,0,1,2,0,2,0,1,0,1,1,2,1,1,0,1,2
DISPATCHED,0,4262503,7115162,2263251,1764330,1061215,6650414,3749298,1209880,5815811,3518673,6566077,2205397,6314909,1683878,7963628
ESTIMATED,1,1,14014972,1,1055492,1,14014972,14014972,14014972,1,1114704,1055492,1,1055492,14014972,1
RUNNED,9266546,7146090,77632646,9266832,11873116,7146090,77632804,77632292,77632702,7146090,6473032,11872875,9267343,11873388,77632804,7146090
WAITED,371455592,100626712,1,378458888,77632647,388927756,105384891,393385763,187903779,260930550,87751420,267326374,283559929,468452444,293348791,89779497
ELAPSED,380722138,107772802,77632647,387725720,89505763,396073846,183017695,471018055,265536481,268076640,94224452,279199249,292827272,480325832,370981595,96925587
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True
HPF,STATIC
ANTT,16.473594551049988,STP,2.752359245840841,FAIRNESS,0.04631303451252294
