NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,Machine Translation,Machine Translation,MobileNet,AlexNet,Machine Translation
ISOLATED,13464275,13464275,6473174,10717761,10717761,25908806,6473174,10717761
PRIORITY,2,0,2,0,0,1,0,1
DISPATCHED,0,2297516,2518359,2320386,2150900,3269464,3626195,160156
ESTIMATED,1,1,1114704,1,1,5045956,1114704,1
RUNNED,2408227,2408023,6473711,2370059,2370060,25908552,6473035,2369897
WAITED,0,34862872,1,37248025,39787570,5722607,40682335,34630335
ELAPSED,2408227,37270895,6473712,39618084,42157630,31631159,47155370,37000232
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,2.9418548068549284,STP,8.722910178001099,FAIRNESS,0.15543017062155115
