NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,VGG16,GoogLeNet,Sentiment Analysis,Machine Translation,VGG16,Machine Translation,MobileNet,Sentiment Analysis,Machine Translation,GoogLeNet,GoogLeNet
ISOLATED,77632839,77632839,11872941,4489906,10717761,77632839,10717761,25908806,4489906,10717761,11872941,11872941
PRIORITY,0,2,2,2,1,2,1,1,2,1,1,1
DISPATCHED,0,4660090,4192764,4277262,4372893,363473,4775872,4093486,716222,3797623,1342809,5347968
ESTIMATED,3555583,3555583,291425,1,1,3555583,1,1419697,1,1,291425,291425
RUNNED,6150113,6149844,814259,4137170,9157050,6150163,9157050,1866679,4136626,9157050,814131,814131
WAITED,52354153,36110279,32268405,1,4041540,46203991,12795611,34810204,22451271,23506496,35932619,32741591
ELAPSED,58504266,42260123,33082664,4137171,13198590,52354154,21952661,36676883,26587897,32663546,36746750,33555722
SWITCHED,2,1,1,1,1,2,1,1,2,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,2.1055045887217165,STP,9.271563530855829,FAIRNESS,1.2779160647990596e-11
