NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Sentiment Analysis,MobileNet,AlexNet,GoogLeNet,AlexNet,Machine Translation,MobileNet,GoogLeNet,Machine Translation,Sentiment Analysis,GoogLeNet,GoogLeNet,GoogLeNet,Automatic Speech Recognition,MobileNet,AlexNet
ISOLATED,4489906,25908806,6473174,11872941,6473174,10717761,25908806,11872941,10717761,4489906,11872941,11872941,11872941,13464275,25908806,6473174
PRIORITY,2,1,1,0,2,2,0,2,2,1,2,0,2,1,1,0
DISPATCHED,0,2854918,1500098,992599,6244417,5024449,7727844,1053179,4767145,4016441,2051289,887070,2701616,838999,6261821,1182289
ESTIMATED,1,5045956,1114704,1055492,1114704,1,5045956,1055492,1,1,1055492,1055492,1055492,1,5045956,1114704
RUNNED,2820166,25908554,6473544,11873386,6473034,6140689,25909579,11872875,6140902,2819633,11873896,11873385,11873901,7853988,25908551,6473547
WAITED,0,71487711,59895953,125167135,61625178,1,130305276,24722200,6140690,12281592,35596965,163055629,46820534,17082392,93989362,174633795
ELAPSED,2820166,97396265,66369497,137040521,68098212,6140690,156214855,36595075,12281592,15101225,47470861,174929014,58694435,24936380,119897913,181107342
SWITCHED,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
PREMA,DYNAMIC
ANTT,6.814348149741657,STP,6.855009118748451,FAIRNESS,1.4327123789361686e-10
