NNID,1,2,3,4
NET NAME,Sentiment Analysis,Machine Translation,Automatic Speech Recognition,Automatic Speech Recognition
ISOLATED,4489906,10717761,13464275,13464275
PRIORITY,0,2,1,2
DISPATCHED,0,1752982,1057011,762853
ESTIMATED,1,1,1,1
RUNNED,2807158,6140756,7834365,7833719
WAITED,21808840,1,6140757,13975122
ELAPSED,24615998,6140757,13975122,21808841
SWITCHED,1,1,1,1
SLA,False,True,True,True
"algo_str, mecha_str"
ANTT,2.178292033911047,STP,3.5085692712090504,FAIRNESS,1.4404742366722348e-09
