NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet,Machine Translation,AlexNet,Machine Translation,Sentiment Analysis,GoogLeNet,GoogLeNet,MobileNet,MobileNet,VGG16,Machine Translation,MobileNet,VGG16,Sentiment Analysis
ISOLATED,13464275,13464275,25908806,10717761,6473174,10717761,4489906,11872941,11872941,25908806,25908806,77632839,10717761,25908806,77632839,4489906
PRIORITY,1,0,1,2,1,1,1,2,1,1,1,1,0,1,2,2
DISPATCHED,0,3466258,6774973,7554553,306729,6394674,1937368,3746848,3092775,6354153,5619123,3256680,1990917,5512235,6229953,6097468
ESTIMATED,1,1,5045956,1,1114704,1,1,1055492,1055492,5045956,5045956,14014972,1,5045956,14014972,1
RUNNED,12051423,12051397,25908553,8905680,6475264,8905680,4044492,11873388,11873897,25908553,25908553,77632805,8905680,25908552,77632290,4044492
WAITED,43271,323607365,61399344,4540142,61392324,14605701,27968687,34248191,46775652,87728717,114372300,168551848,337134103,140387741,243211380,27853079
ELAPSED,12094694,335658762,87307897,13445822,67867588,23511381,32013179,46121579,58649549,113637270,140280853,246184653,346039783,166296293,320843670,31897571
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True
PREMA,STATIC
ANTT,7.624909141495168,STP,4.696090167976604,FAIRNESS,3.4313883673038945e-11
