NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,Automatic Speech Recognition,Machine Translation,GoogLeNet,MobileNet,Machine Translation,MobileNet,GoogLeNet
ISOLATED,25908806,13464275,10717761,11872941,25908806,10717761,25908806,11872941
PRIORITY,0,2,0,0,0,0,2,1
DISPATCHED,0,2153444,661786,1416797,1524323,519851,3203195,3543018
ESTIMATED,5045956,1,1,1055492,5045956,1,5045956,1055492
RUNNED,25908423,10926210,8654310,11873387,25909577,8654309,25909576,11873388
WAITED,48709174,1,73955812,81855111,93620972,120535021,21749848,9536637
ELAPSED,74617597,10926211,82610122,93728498,119530549,129189330,47659424,21410025
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,False,True,True
"algo_str, mecha_str"
ANTT,4.950452360472907,STP,3.233816149311945,FAIRNESS,0.0002718035591123412
