NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,MobileNet,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition,Machine Translation,MobileNet,GoogLeNet
ISOLATED,6473174,25908806,13464275,6473174,13464275,10717761,25908806,11872941
PRIORITY,1,2,2,2,1,1,2,2
DISPATCHED,0,3452113,218299,1528199,1825352,2291807,167025,588154
ESTIMATED,307188,1419697,1,307188,1,1,1419697,291425
RUNNED,1693365,1868279,7791373,1698044,7793232,5890774,1867283,815328
WAITED,10276158,9240807,20964775,9922154,19799095,18358194,8971802,6046126
ELAPSED,11969523,11109086,28756148,11620198,27592327,24248968,10839085,6861454
SWITCHED,14,12,47,11,43,34,12,7
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.4396006899321843,STP,8.94896277059136,FAIRNESS,0.1958833334633346
