NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Machine Translation,Sentiment Analysis,Sentiment Analysis,MobileNet,Automatic Speech Recognition,GoogLeNet,GoogLeNet
ISOLATED,6473174,10717761,4489906,4489906,25908806,13464275,11872941,11872941
PRIORITY,2,1,2,1,0,2,0,1
DISPATCHED,0,1388473,3485484,2764804,1004760,2162871,2043626,1620453
ESTIMATED,1114704,1,1,1,5045956,1,1055492,1055492
RUNNED,6532675,5137078,2375673,2375655,25912818,6439542,11863106,11804390
WAITED,29928493,27382418,16275001,16660197,45523360,34376934,44793504,45037872
ELAPSED,36461168,32519496,18650674,19035852,71436178,40816476,56656610,56842262
SWITCHED,4,30,15,14,1,38,69,69
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,4.051071904982278,STP,2.094711479287406,FAIRNESS,0.05438949250216998
