NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,GoogLeNet,Sentiment Analysis,AlexNet,MobileNet,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,GoogLeNet,Automatic Speech Recognition,Machine Translation
ISOLATED,13464275,13464275,11872941,4489906,6473174,25908806,13464275,4489906,11872941,11872941,13464275,10717761
PRIORITY,1,0,2,2,1,0,1,1,2,1,1,2
DISPATCHED,0,5203777,5271505,3915556,3069379,3575042,5665448,3912895,2507728,732144,2860358,1445587
ESTIMATED,1,1,291425,1,307188,1419697,1,1,291425,291425,1,1
RUNNED,7834229,7834023,814259,2807136,1696876,1866807,7834023,2807137,814131,813618,7834022,6140610
WAITED,0,2630453,37819676,11752697,42463810,43655023,12809941,22396517,41397712,43987427,26256191,35504984
ELAPSED,7834229,10464476,38633935,14559833,44160686,45521830,20643964,25203654,42211843,44801045,34090213,41645594
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,3.110648672403563,STP,6.36570123140988,FAIRNESS,0.022224244738244626
