NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,MobileNet,MobileNet,Machine Translation,GoogLeNet,VGG16,Machine Translation,VGG16,Sentiment Analysis,Sentiment Analysis,GoogLeNet,Sentiment Analysis,MobileNet,Machine Translation,VGG16,Sentiment Analysis,VGG16
ISOLATED,25908806,25908806,10717761,11872941,77632839,10717761,77632839,4489906,4489906,11872941,4489906,25908806,10717761,77632839,4489906,77632839
PRIORITY,2,2,0,2,1,2,0,1,2,1,0,2,2,0,1,0
DISPATCHED,0,4145963,1842578,1148251,2066922,5489411,4891080,4620280,2318232,6560832,2701131,474230,277144,5085685,967025,1912224
ESTIMATED,1419697,1419697,1,291425,3555583,1,3555583,1,1,291425,1,1419697,1,3555583,1,3555583
RUNNED,1866804,1866807,4381344,813746,6150357,4381020,6149844,2031481,2031479,814131,2031480,1866807,4380778,6150356,2031480,6149846
WAITED,22896939,20617781,1,20397956,26430436,734512,29756635,5984663,10318192,15799121,11966772,26156321,14856805,35711874,18547702,45035691
ELAPSED,24763743,22484588,4381345,21211702,32580793,5115532,35906479,8016144,12349671,16613252,13998252,28023128,19237583,41862230,20579182,51185537
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,1.443117979913838,STP,18.87461793581752,FAIRNESS,0.016513637054643066
