NNID,1,2,3,4
NET NAME,Machine Translation,Machine Translation,Automatic Speech Recognition,Automatic Speech Recognition
ISOLATED,10717761,10717761,13464275,13464275
PRIORITY,0,2,0,0
DISPATCHED,0,458655,1731817,311389
ESTIMATED,1,1,1,1
RUNNED,8403146,8402940,10884834,10884834
WAITED,0,7944492,15074270,27379532
ELAPSED,8403146,16347432,25959104,38264366
SWITCHED,1,1,1,1
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,1.7698053968663716,STP,2.801617363574672,FAIRNESS,0.05711495780431378
