NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Sentiment Analysis,GoogLeNet,VGG16,Automatic Speech Recognition,MobileNet,Sentiment Analysis,Sentiment Analysis
ISOLATED,77632839,4489906,11872941,77632839,13464275,25908806,4489906,4489906
PRIORITY,1,0,1,0,2,1,2,1
DISPATCHED,0,3780775,915701,2792377,24342,2642599,217964,2137588
ESTIMATED,14014972,1,1055492,14014972,1,5045956,1,1
RUNNED,77633036,2040956,11873385,77632292,5233359,25909577,2040714,2040715
WAITED,49138706,1,10464386,123979366,2040957,20610873,7080694,7201784
ELAPSED,126771742,2040957,22337771,201611658,7274316,46520450,9121408,9242499
SWITCHED,2,1,1,1,2,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.6239723210225676,STP,7.11475961490847,FAIRNESS,0.02486162224077686
