NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,Sentiment Analysis
ISOLATED,13464275,13464275,6473174,4489906
PRIORITY,0,0,2,1
DISPATCHED,0,900190,1502568,870745
ESTIMATED,1,1,1114704,1
RUNNED,10638800,10638594,6473548,3599208
WAITED,0,9738611,23374035,20406650
ELAPSED,10638800,20377205,29847583,24005858
SWITCHED,1,1,1,1
SLA,True,True,False,False
"algo_str, mecha_str"
ANTT,3.0652929123944643,STP,2.3302419961838985,FAIRNESS,0.01904036521774731
