NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,Sentiment Analysis,AlexNet,Sentiment Analysis,VGG16,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet
ISOLATED,13464275,4489906,6473174,4489906,77632839,13464275,13464275,25908806
PRIORITY,1,2,1,1,0,2,1,2
DISPATCHED,0,163018,1353683,1332354,3571658,2353686,2620134,1185060
ESTIMATED,1,1,1114704,1,14014972,1,1,5045956
RUNNED,8059436,2931283,6473034,2931282,77632291,8059229,8059230,25908553
WAITED,0,7896419,28686778,9658366,58850390,11568316,19361097,35328435
ELAPSED,8059436,10827702,35159812,12589648,136482681,19627545,27420327,61236988
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,2.3577049018194107,STP,4.794955915230956,FAIRNESS,0.0810010262567742
