NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,VGG16,GoogLeNet,VGG16,Automatic Speech Recognition,Sentiment Analysis,VGG16,Machine Translation,AlexNet,Machine Translation,VGG16,AlexNet
ISOLATED,77632839,77632839,11872941,77632839,13464275,4489906,77632839,10717761,6473174,10717761,77632839,6473174
PRIORITY,1,0,1,2,2,1,1,0,2,1,2,2
DISPATCHED,0,1682696,1756217,1978992,5466006,3834132,4666176,368136,5519941,3925763,2662018,1493616
ESTIMATED,3555583,3555583,291425,3555583,1,1,3555583,1,307188,1,3555583,307188
RUNNED,6150234,6150358,814258,6150230,9450999,3361176,6150356,7397460,1697517,7397460,6149844,1697334
WAITED,81384,47336713,6091352,6682835,32404887,17127769,27054361,54801631,41801951,20397314,12150039,4656619
ELAPSED,6231618,53487071,6905610,12833065,41855886,20488945,33204717,62199091,43499468,27794774,18299883,6353953
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,2
SLA,True,True,True,True,True,True,True,True,True,True,True,True
TOKEN,DYNAMIC
ANTT,2.162488099242451,STP,30.524658876530054,FAIRNESS,1.7355738543193967e-11
