NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,AlexNet,MobileNet,Automatic Speech Recognition,Machine Translation,Machine Translation,GoogLeNet,Automatic Speech Recognition,Machine Translation,Sentiment Analysis,AlexNet,Sentiment Analysis,AlexNet,MobileNet,Machine Translation,VGG16,VGG16
ISOLATED,6473174,25908806,13464275,10717761,10717761,11872941,13464275,10717761,4489906,6473174,4489906,6473174,25908806,10717761,77632839,77632839
PRIORITY,1,1,0,2,2,1,2,0,1,1,2,0,1,2,1,0
DISPATCHED,0,7907811,2680177,1316411,2864986,4607975,3401976,2497754,3263304,6985726,7164617,3217870,5871721,1795864,6333673,1388331
ESTIMATED,307188,1419697,1,1,1,291425,1,1,1,307188,1,307188,1419697,1,3555583,3555583
RUNNED,1697622,1866807,6422247,5135232,5135130,814259,6422246,5135132,2363905,1697516,2363904,1697516,1866679,5135129,6150358,6149844
WAITED,71920,30874170,37968611,381212,9102998,21281290,16065043,44573281,13839810,27734835,29253460,48988297,20831803,5036991,22236530,52515352
ELAPSED,1769542,32740977,44390858,5516444,14238128,22095549,22487289,49708413,16203715,29432351,31617364,50685813,22698482,10172120,28386888,58665196
SWITCHED,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TOKEN,DYNAMIC
ANTT,2.5512824392779643,STP,15.820031896990965,FAIRNESS,9.507926025825973e-12
