NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,Machine Translation,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,AlexNet,Automatic Speech Recognition,Machine Translation
ISOLATED,13464275,10717761,13464275,4489906,11872941,6473174,13464275,10717761
PRIORITY,2,0,2,0,1,2,2,2
DISPATCHED,0,1189097,2226282,2675634,97833,875864,3387686,726664
ESTIMATED,1,1,1,1,1055492,1114704,1,1
RUNNED,6441434,5135130,6441227,2374678,11873388,6473548,6441228,5135640
WAITED,0,41617369,27697729,45265962,6343602,22574599,32977552,17588159
ELAPSED,6441434,46752499,34138956,47640640,18216990,29048147,39418780,22723799
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,False,True,True,True,True
"algo_str, mecha_str"
ANTT,3.6320429170706765,STP,4.495964193817402,FAIRNESS,1.3606641431038772e-10
