NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,MobileNet,Machine Translation,VGG16,Machine Translation,Machine Translation,Automatic Speech Recognition,GoogLeNet
ISOLATED,25908806,25908806,10717761,77632839,10717761,10717761,13464275,11872941
PRIORITY,0,1,1,1,1,0,1,1
DISPATCHED,0,2605827,2397062,853661,1550160,701742,3220636,283139
ESTIMATED,1419697,1419697,1,3555583,1,1,1,291425
RUNNED,1866771,1866806,6643350,6150231,6643350,6643349,8080263,813988
WAITED,30197988,17928232,11493647,243467,5697199,31363018,19180229,1
ELAPSED,32064759,19795038,18136997,6393698,12340549,38006367,27260492,813989
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.3208696922136354,STP,31.080419415051004,FAIRNESS,4.648358648777918e-11
