NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,AlexNet,GoogLeNet,AlexNet,VGG16,GoogLeNet,AlexNet,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,Machine Translation,VGG16
ISOLATED,4469462,1697722,813951,1697722,6150050,813951,1697722,13440293,4469462,813951,9911366,6150050
PRIORITY,0,1,1,2,0,1,1,2,0,1,2,0
DISPATCHED,0,2601573,4904547,4240990,5930649,2126288,1221489,5938036,5247369,5233475,3492284,4559406
ESTIMATED,1,307188,291425,307188,3555583,291425,307188,1,1,291425,1,3555583
RUNNED,4469164,1697147,814259,1697704,6150358,813865,1696744,13440087,4469256,813745,9911399,6150358
WAITED,30884950,25049191,24443364,1,29423466,27560597,28374462,659,36257104,26059220,15137792,41414323
ELAPSED,35354114,26746338,25257623,1697705,35573824,28374462,30071206,13440746,40726360,26872965,25049191,47564681
SWITCHED,2,2,1,1,1,2,2,1,1,1,2,1
SLA,True,False,False,True,True,False,False,True,True,False,True,True
HPF,DYNAMIC
ANTT,13.953451309593348,STP,3.145128473868377,FAIRNESS,0.05530969658827061
