NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Machine Translation,AlexNet,AlexNet,MobileNet,Machine Translation,GoogLeNet,AlexNet
ISOLATED,77632498,9911366,6473754,6473754,25908758,9911366,11873594,6473754
PRIORITY,2,0,0,2,0,2,2,1
DISPATCHED,0,1977472,1361426,2721081,1991355,2683853,238933,2501661
ESTIMATED,14014972,1,1114704,1114704,5045956,1,1055492,1114704
RUNNED,77632498,9911160,6473546,6473546,25908553,9911160,11873387,6473547
WAITED,0,110386667,120913873,74911418,126757490,81422192,93778272,103388931
ELAPSED,77632498,120297827,127387419,81384964,152666043,91333352,105651659,109862478
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,False,False,True,False,False,False
HPF,DYNAMIC
ANTT,10.795293215941928,STP,1.662292124270672,FAIRNESS,0.052079326813054425
