NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,AlexNet,AlexNet,AlexNet,AlexNet,Machine Translation,AlexNet,VGG16,VGG16,VGG16
ISOLATED,4469462,13440293,813951,1697722,1697722,1697722,1697722,9911366,1697722,6150050,6150050,6150050
PRIORITY,2,2,2,1,1,0,2,2,2,1,0,1
DISPATCHED,0,3729191,4728492,600168,233106,3163234,3665220,1261441,49312,3147756,2606308,2043707
ESTIMATED,1,1,291425,307188,307188,307188,307188,1,307188,3555583,3555583,3555583
RUNNED,4469462,13440087,814259,1697004,1697004,1697516,1697390,9911160,1697516,6150358,6149846,6149844
WAITED,0,740272,13181058,31429707,33493773,44560851,15058589,19159758,30283047,32276127,46815293,39530534
ELAPSED,4469462,14180359,13995317,33126711,35190777,46258367,16755979,29070918,31980563,38426485,52965139,45680378
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,False,False,False,False,True,True,False,True,True,True
HPF,STATIC
ANTT,11.722118145760831,STP,3.0483012292497604,FAIRNESS,0.05079832962541454
