NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,Sentiment Analysis,MobileNet,VGG16,Sentiment Analysis,Automatic Speech Recognition,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,13464404,4489981,25908758,77632498,4489981,13464404,4489981,13464404
PRIORITY,1,2,2,1,2,2,0,2
DISPATCHED,0,188783,3735967,2790834,2668442,3305256,1524545,232247
ESTIMATED,1,1,5045956,14014972,1,1,1,1
RUNNED,13464197,4489984,25908552,77632293,4489776,13464197,4489775,13464199
WAITED,61816708,1,942801,72490072,27918878,31771840,151388654,48309046
ELAPSED,75280905,4489985,26851353,150122365,32408654,45236037,155878429,61773245
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,False,True
HPF,STATIC
ANTT,7.430469193233439,STP,3.3438382980112804,FAIRNESS,0.08930259747798087
