NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,Machine Translation,MobileNet,MobileNet,VGG16,Automatic Speech Recognition
ISOLATED,4469462,13440293,813951,9911366,1867013,1867013,6150050,13440293
PRIORITY,2,2,2,0,1,1,0,1
DISPATCHED,0,1173970,689552,658147,2030080,1249602,2851344,6962
ESTIMATED,1,1,291425,1,1419697,1419697,3555583,1
RUNNED,4469462,13440087,814259,9911160,1866680,1866807,6149844,13440087
WAITED,0,3295493,30660085,35239236,30133816,32780974,42957199,17902588
ELAPSED,4469462,16735580,31474344,45150396,32000496,34647781,49107043,31342675
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,False,True,False,False,True,True
PREMA,DYNAMIC
ANTT,11.43547727562215,STP,2.714760690986565,FAIRNESS,5.050706345136349e-10
