NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,Sentiment Analysis,Automatic Speech Recognition,MobileNet,GoogLeNet,Sentiment Analysis,Automatic Speech Recognition,Sentiment Analysis,AlexNet,Automatic Speech Recognition,Automatic Speech Recognition,Machine Translation
ISOLATED,6473754,4489981,13464404,25908758,11873594,4489981,13464404,4489981,6473754,13464404,13464404,9911366
PRIORITY,0,1,1,1,1,2,1,0,1,2,1,2
DISPATCHED,0,5469935,2941481,5186672,3758444,5535325,5220553,237078,524563,4963854,2755684,2609255
ESTIMATED,1114704,1,1,5045956,1055492,1,1,1,1114704,1,1,1
RUNNED,6473311,4490167,13464074,25908554,11873385,4489776,13464198,4489775,6474945,13464199,13464289,9910872
WAITED,117004459,1,4490168,86433797,71598387,15360398,20164946,123240693,84620961,33885843,49372415,62836704
ELAPSED,123477770,4490168,17954242,112342351,83471772,19850174,33629144,127730468,91095906,47350042,62836704,72747576
SWITCHED,2,1,2,1,1,1,1,1,2,1,2,2
SLA,False,True,True,True,True,True,True,False,False,True,True,True
PREMA,DYNAMIC
ANTT,8.144555543564833,STP,3.5428537921908507,FAIRNESS,3.9952006017108735e-11
