NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Sentiment Analysis,MobileNet,Machine Translation,MobileNet,Automatic Speech Recognition,Automatic Speech Recognition,GoogLeNet,AlexNet,Sentiment Analysis,VGG16,GoogLeNet,VGG16
ISOLATED,4469462,1867013,9911366,1867013,13440293,13440293,813951,1697722,4469462,6150050,813951,6150050
PRIORITY,2,0,0,1,1,1,1,1,0,1,0,2
DISPATCHED,0,5061635,1041718,5141421,1379146,4176699,3558026,1545611,5380524,104695,1417957,2806259
ESTIMATED,1,1419697,1,1419697,1,1,291425,307188,1,3555583,291425,3555583
RUNNED,4469974,1866806,9911161,1866806,13440088,13440087,814259,1697390,4469257,6150358,814258,6149844
WAITED,0,42967172,48853895,28720378,3090829,13733364,27792124,30618798,54426250,35623910,62858074,39072704
ELAPSED,4469974,44833978,58765056,30587184,16530917,27173451,28606383,32316188,58895507,41774268,63672332,45222548
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,True,False,True,True,False,False,False,True,False,True
PREMA,STATIC
ANTT,17.52558373558905,STP,3.0317550283910557,FAIRNESS,6.80838364096407e-10
