NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,Machine Translation,VGG16,VGG16,AlexNet,AlexNet,GoogLeNet,Sentiment Analysis
ISOLATED,9911366,9911366,77632498,77632498,6473754,6473754,11873594,4489981
PRIORITY,2,1,2,2,0,1,0,1
DISPATCHED,0,3586042,1522036,136800,3693672,2560661,2754085,489369
ESTIMATED,1,1,14014972,14014972,1114704,1114704,1055492,1
RUNNED,9911366,9911160,77632804,77632292,6473548,6473548,11873387,4489776
WAITED,0,6325325,29263815,108281855,182357275,21751642,189770410,19333158
ELAPSED,9911366,16236485,106896619,185914147,188830823,28225190,201643797,23822934
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,False,True,False,True
PREMA,STATIC
ANTT,7.778359856729099,STP,3.2652499860242488,FAIRNESS,8.367524608820105e-11
