NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,GoogLeNet,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,Automatic Speech Recognition,Machine Translation,GoogLeNet,VGG16,MobileNet,GoogLeNet,AlexNet
ISOLATED,813951,813951,13440293,4469462,813951,13440293,9911366,813951,6150050,1867013,813951,1697722
PRIORITY,2,2,2,2,2,0,1,1,0,0,1,2
DISPATCHED,0,2538572,2310983,1306798,1381342,4078884,2203394,4911258,4367834,4212167,5201522,964773
ESTIMATED,291425,291425,1,1,291425,1,1,291425,3555583,1419697,291425,307188
RUNNED,813951,814259,13440506,4468987,814131,13440087,9911160,814131,6149843,1866807,814131,1697244
WAITED,0,40028967,1,13440507,42000456,15137408,30452985,39284671,44678383,42967243,39808538,44517393
ELAPSED,813951,40843226,13440507,17909494,42814587,28577495,40364145,40098802,50828226,44834050,40622669,46214637
SWITCHED,1,1,1,2,1,1,1,1,1,1,1,2
SLA,True,False,True,True,False,True,True,False,True,False,False,False
SJF,DYNAMIC
ANTT,22.804849989100944,STP,3.2440518125264153,FAIRNESS,0.004491375995124258
