NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,GoogLeNet,Machine Translation,Automatic Speech Recognition,MobileNet,VGG16,Machine Translation,GoogLeNet
ISOLATED,13464404,11873594,9911366,13464404,25908758,77632498,9911366,11873594
PRIORITY,0,2,0,2,2,1,0,0
DISPATCHED,0,2242961,2789484,2433530,2587768,1200989,289968,2455806
ESTIMATED,1,1055492,1,1,5045956,14014972,1,1055492
RUNNED,13464404,11873387,9911160,13464198,25909576,77632804,9911160,11873387
WAITED,0,44507962,10674921,20942035,67909929,95206284,36549795,56168504
ELAPSED,13464404,56381349,20586081,34406233,93819505,172839088,46460955,68041891
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,3.3308152581064547,STP,3.196536971098129,FAIRNESS,0.023399373119331043
