NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,VGG16,VGG16,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,Automatic Speech Recognition,VGG16,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,MobileNet
ISOLATED,6150050,6150050,6150050,4469462,4469462,13440293,13440293,6150050,13440293,13440293,1697722,1867013
PRIORITY,1,2,2,0,1,0,0,1,0,2,0,2
DISPATCHED,0,2861657,667978,5103372,4925072,1851318,2288316,1451704,1366200,549340,4259024,5865424
ESTIMATED,3555583,3555583,3555583,1,1,1,1,3555583,1,1,307188,1419697
RUNNED,6149761,6149844,6150356,4469414,4469546,13439944,13440087,6149844,13439907,13440252,1697518,1866807
WAITED,66263475,69551580,77895103,1,4469415,8938961,21941907,83261733,35818992,49258899,58989467,59080585
ELAPSED,72413236,75701424,84045459,4469415,8938961,22378905,35381994,89411577,49258899,62699151,60686985,60947392
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,False,True,True,True,True,False,True,True,False,False
SJF,STATIC
ANTT,11.358811181107404,STP,3.3343992346864,FAIRNESS,0.0034036519138989315
