NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,AlexNet,VGG16,AlexNet,Automatic Speech Recognition,Automatic Speech Recognition,Machine Translation,Machine Translation
ISOLATED,13440293,1697722,6150050,1697722,13440293,13440293,9911366,9911366
PRIORITY,0,0,0,1,2,1,2,0
DISPATCHED,0,3314197,2955607,2385321,66674,3693870,3225816,1434255
ESTIMATED,1,307188,3555583,307188,1,1,1,1
RUNNED,13440293,1697518,6149844,1697516,13440087,13440087,9911161,9911160
WAITED,0,56828592,60582216,59454986,13373620,23186511,37094652,48797374
ELAPSED,13440293,58526110,66732060,61152502,26813707,36626598,47005813,58708534
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,False,False,True,True,True,True
SJF,STATIC
ANTT,12.21630345230394,STP,2.3968092525236844,FAIRNESS,0.009254034010469979
