NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,VGG16,AlexNet,AlexNet,AlexNet,MobileNet,Automatic Speech Recognition,Machine Translation,GoogLeNet,Sentiment Analysis,MobileNet,VGG16
ISOLATED,77632498,77632498,6473754,6473754,6473754,25908758,13464404,9911366,11873594,4489981,25908758,77632498
PRIORITY,0,1,0,2,2,2,0,0,1,2,0,2
DISPATCHED,0,4421318,5982629,5632303,5464533,5109791,953516,702287,4577053,1991105,5031101,3941402
ESTIMATED,14014972,14014972,1114704,1114704,1114704,5045956,1,1,1055492,1,5045956,14014972
RUNNED,77632957,77632292,6473548,6473034,6473546,25909577,13464197,9911160,11872875,4489831,25908553,77632290
WAITED,210483445,79691909,282133774,200369214,194063438,168508603,293636435,307351861,157168466,1,312934207,2539535
ELAPSED,288116402,157324201,288607322,206842248,200536984,194418180,307100632,317263021,169041341,4489832,338842760,80171825
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,False,False,False,True,False,False,False,True,False,True
TOKEN,DYNAMIC
ANTT,17.07640103720867,STP,3.1723248091847966,FAIRNESS,2.648726483182976e-07
