NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,GoogLeNet,Machine Translation,AlexNet,Automatic Speech Recognition,GoogLeNet,MobileNet,Sentiment Analysis
ISOLATED,11873594,11873594,9911366,6473754,13464404,11873594,25908758,4489981
PRIORITY,1,1,1,0,1,0,1,0
DISPATCHED,0,2866664,1042606,195589,1979291,963277,2534008,1388944
ESTIMATED,1055492,1055492,1,1114704,1,1055492,5045956,1
RUNNED,11873895,11873387,9911883,6473032,13464197,11872874,25908554,4489773
WAITED,7394,58291866,10831290,72836328,19806488,78541672,32715968,89988879
ELAPSED,11881289,70165253,20743173,79309360,33270685,90414546,58624522,94478652
SWITCHED,2,1,2,1,1,1,1,1
SLA,True,True,True,False,True,True,True,False
TOKEN,DYNAMIC
ANTT,6.830547352465781,STP,2.7535000818268713,FAIRNESS,2.9731717004018166e-10
