NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,Sentiment Analysis,Machine Translation,VGG16,VGG16,VGG16,VGG16,Automatic Speech Recognition
ISOLATED,13440293,4469462,9911366,6150050,6150050,6150050,6150050,13440293
PRIORITY,0,1,1,1,0,2,1,2
DISPATCHED,0,821016,2663745,3264220,3864930,1877092,2610440,3683947
ESTIMATED,1,1,1,3555583,3555583,3555583,3555583,1
RUNNED,13439791,4469760,9911160,6150358,6150357,6149844,6150356,13440086
WAITED,46271564,1,14927232,24237917,55846426,3413685,8830181,29968548
ELAPSED,59711355,4469761,24838392,30388275,61996783,9563529,14980537,43408634
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,False,True,True,True
TOKEN,STATIC
ANTT,3.7739100393970983,STP,3.288868665340976,FAIRNESS,9.626679142893988e-11
