NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,Machine Translation,AlexNet,AlexNet,Automatic Speech Recognition,Automatic Speech Recognition,Machine Translation,GoogLeNet,AlexNet,AlexNet,Machine Translation,VGG16,Machine Translation
ISOLATED,9911366,6473754,6473754,13464404,13464404,9911366,11873594,6473754,6473754,9911366,77632498,9911366
PRIORITY,2,0,0,2,2,1,0,1,2,1,0,1
DISPATCHED,0,5662740,4300895,4492706,5944973,5220670,5645824,4255574,4747090,759516,4159105,777376
ESTIMATED,1,1114704,1114704,1,1,1,1055492,1114704,1114704,1,14014972,1
RUNNED,9911366,6473548,6473546,13464197,13464198,9911160,11873387,6473548,6473035,9911160,77633317,9911160
WAITED,0,73857085,81692478,31714529,60110654,50923797,86821095,25478113,44924342,9151851,100181201,19045151
ELAPSED,9911366,80330633,88166024,45178726,73574852,60834957,98694482,31951661,51397377,19063011,177814518,28956311
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,False,False,True,True,True,True,True,True,True,True,True
TOKEN,STATIC
ANTT,5.8589772554067245,STP,3.545644483786732,FAIRNESS,8.77034387247296e-12
